year,state,property_damage
2024,Oklahoma,150.00K
2024,Oklahoma,10.00K
2024,Oregon,75.00K
2024,Iowa,120.00K
2024,North Dakota,40.00K
2024,New York,35.00K
2024,New York,250.00K
2024,New York,20.00K
2024,New York,5.00K
2024,Mississippi,1.00K
2024,Alabama,0.50K
2024,Alabama,2.00K
2024,Alabama,2.00K
2024,New York,10.00K
2024,New York,50.00K
2024,New York,1.00K
2024,Vermont,25.00K
2024,North Carolina,5.00K
2024,North Carolina,4.00K
2024,North Carolina,2.00K
2024,North Carolina,1.00K
2024,Florida,25.00K
2024,North Carolina,1.00K
2024,Florida,10.00K
2024,Florida,10.00K
2024,Florida,25.00K
2024,North Carolina,20.00K
2024,North Carolina,2.00K
2024,North Carolina,2.00K
2024,North Carolina,1.00K
2024,North Carolina,1.00K
2024,North Carolina,1.00K
2024,North Carolina,2.00K
2024,North Carolina,1.00K
2024,North Carolina,2.00K
2024,North Carolina,5.00K
2024,North Carolina,15.00K
2024,Louisiana,50.00K
2024,American Samoa,10.00K
2024,Vermont,25.00K
2024,North Carolina,2.00K
2024,California,7.50K
2024,California,1.50K
2024,California,1.50K
2024,California,1.10K
2024,California,7.50K
2024,California,7.50K
2024,California,7.50K
2024,California,7.50K
2024,California,1.00K
2024,California,1.00K
2024,Pennsylvania,75.00K
2024,California,1.00K
2024,California,7.50K
2024,California,7.50K
2024,California,0.25K
2024,California,7.50K
2024,California,7.50K
2024,Ohio,10.00K
2024,Ohio,100.00K
2024,California,1.00K
2024,California,1.00K
2024,California,1.00K
2024,California,7.50K
2024,California,1.00K
2024,California,7.50K
2024,California,3.50K
2024,California,1.10K
2024,California,1.00K
2024,California,0.30K
2024,California,1.10K
2024,California,3.50K
2024,California,3.50K
2024,California,0.20K
2024,California,1.00K
2024,California,1.10K
2024,California,1.00K
2024,California,1.10K
2024,California,1.00K
2024,California,1.00K
2024,California,3.50K
2024,California,3.50K
2024,California,1.00K
2024,California,1.10K
2024,California,3.50K
2024,California,1.10K
2024,California,1.10K
2024,California,1.10K
2024,California,1.00K
2024,California,1.00K
2024,California,3.50K
2024,California,1.00K
2024,California,1.10K
2024,California,1.10K
2024,California,1.00K
2024,California,3.50K
2024,California,1.10K
2024,California,3.50K
2024,California,1.10K
2024,California,1.10K
2024,California,1.00K
2024,California,1.00K
2024,California,0.01K
2024,California,0.01K
2024,California,0.01K
2024,California,0.01K
2024,California,0.01K
2024,California,0.01K
2024,California,0.01K
2024,California,0.01K
2024,California,0.01K
2024,California,0.01K
2024,California,0.01K
2024,California,0.01K
2024,Louisiana,20.00K
2024,Mississippi,50.00K
2024,Louisiana,1.00K
2024,Mississippi,1.00K
2024,Mississippi,25.00K
2024,California,0.01K
2024,Arkansas,125.00K
2024,California,0.01K
2024,California,0.01K
2024,California,0.01K
2024,California,0.01K
2024,California,0.01K
2024,California,0.01K
2024,California,0.01K
2024,California,0.01K
2024,California,0.01K
2024,California,0.01K
2024,Mississippi,20.00K
2024,Arkansas,1.00K
2024,California,0.01K
2024,Arkansas,5.00K
2024,Arkansas,5.00K
2024,Vermont,2.00K
2024,Vermont,5.00K
2024,Virginia,1.00K
2024,Alabama,30.00K
2024,Alabama,1.00K
2024,Massachusetts,2.00K
2024,Massachusetts,0.50K
2024,Massachusetts,0.50K
2024,New York,2.00K
2024,New York,5.00K
2024,Alabama,2.00K
2024,Indiana,0.25K
2024,Massachusetts,1.00K
2024,Massachusetts,5.00K
2024,Massachusetts,0.50K
2024,Massachusetts,5.00K
2024,Connecticut,2.00K
2024,North Carolina,10.00K
2024,North Carolina,10.00K
2024,North Carolina,2.00K
2024,Mississippi,300.00K
2024,Florida,150.00K
2024,Mississippi,20.00K
2024,Mississippi,100.00K
2024,Alabama,5.00K
2024,Alabama,2.00K
2024,Alabama,10.00K
2024,Alabama,2.00K
2024,California,1.00K
2024,California,1.00K
2024,California,100.00K
2024,Mississippi,100.00K
2024,California,1.00K
2024,California,50.00K
2024,Alabama,0.50K
2024,Alabama,0.50K
2024,Alabama,0.50K
2024,Alabama,10.00K
2024,Alabama,0.50K
2024,Alabama,1.00K
2024,Mississippi,20.00K
2024,California,20.00K
2024,California,1.00K
2024,California,1.00K
2024,South Carolina,35.00K
2024,South Carolina,2.00K
2024,South Carolina,3.00K
2024,Wisconsin,1.00K
2024,New Mexico,2.00K
2024,Texas,250.00K
2024,South Carolina,10.00K
2024,California,1.00K
2024,California,1.00K
2024,Florida,0.50K
2024,Georgia,1.00K
2024,North Carolina,5.00K
2024,North Carolina,10.00K
2024,Georgia,3.00K
2024,Florida,5.00K
2024,Florida,2.00K
2024,Georgia,11.00K
2024,Texas,20.00K
2024,Mississippi,25.00K
2024,Mississippi,1.00K
2024,Mississippi,1.00K
2024,American Samoa,2.00K
2024,American Samoa,20.00K
2024,American Samoa,100.00K
2024,North Carolina,5.00K
2024,Georgia,4.00K
2024,Georgia,6.00K
2024,Missouri,1.00K
2024,South Carolina,10.00K
2024,North Carolina,1.00K
2024,North Carolina,2.00K
2024,North Carolina,5.00K
2024,North Carolina,5.00K
2024,Mississippi,5.00K
2024,Mississippi,25.00K
2024,North Carolina,2.00K
2024,North Carolina,5.00K
2024,Missouri,2.00K
2024,South Carolina,6.00K
2024,North Carolina,10.00K
2024,North Carolina,5.00K
2024,Florida,3.00K
2024,Texas,11.00K
2024,Georgia,1.00K
2024,Missouri,10.00K
2024,Missouri,6.00K
2024,Alabama,10.00K
2024,Alabama,10.00K
2024,Georgia,1.00K
2024,Georgia,1.00K
2024,Massachusetts,0.50K
2024,Massachusetts,0.50K
2024,New Mexico,25.00K
2024,North Carolina,5.00K
2024,North Carolina,5.00K
2024,North Carolina,5.00K
2024,California,25.00K
2024,Georgia,3.00K
2024,Georgia,1.00K
2024,Georgia,1.00K
2024,Wisconsin,7.00K
2024,Pennsylvania,45.00K
2024,Mississippi,25.00K
2024,Mississippi,1.00K
2024,Mississippi,1.00K
2024,Mississippi,1.00K
2024,Mississippi,10.00K
2024,Texas,2.00K
2024,Florida,0.50K
2024,Arkansas,150.00K
2024,North Carolina,1.00K
2024,North Carolina,5.00K
2024,North Carolina,2.00K
2024,Texas,25.00K
2024,Texas,50.00K
2024,North Carolina,10.00K
2024,Georgia,4.00K
2024,Georgia,1.00K
2024,Georgia,1.00K
2024,Georgia,1.00K
2024,California,10.00K
2024,California,1.00K
2024,California,1.00K
2024,Georgia,1.00K
2024,Georgia,1.00K
2024,Georgia,1.00K
2024,Georgia,1.00K
2024,Georgia,1.00K
2024,Louisiana,1.00K
2024,Louisiana,5.00K
2024,Louisiana,15.00K
2024,Georgia,1.00K
2024,California,1.00K
2024,Georgia,1.00K
2024,Georgia,1.00K
2024,Georgia,1.00K
2024,Georgia,1.00K
2024,California,0.50K
2024,Georgia,1.00K
2024,Georgia,1.00K
2024,Missouri,5.00K
2024,Missouri,1.00K
2024,Mississippi,1.00K
2024,Missouri,1.00K
2024,Missouri,18.00K
2024,New York,3.00K
2024,New York,1.00K
2024,Missouri,3.00K
2024,Georgia,1.00K
2024,Georgia,1.00K
2024,Arkansas,1.00K
2024,Mississippi,2.00K
2024,Georgia,1.00K
2024,Missouri,1.00K
