year,state,property_damage
2022,American Samoa,50.00K
2022,Louisiana,50.00K
2022,Louisiana,85.00K
2022,Mississippi,35.00K
2022,Mississippi,150.00K
2022,Mississippi,30.00K
2022,Mississippi,10.00K
2022,Mississippi,30.00K
2022,California,100.00K
2022,California,50.00K
2022,California,10.00K
2022,California,1.00K
2022,California,100.00K
2022,Mississippi,10.00K
2022,Mississippi,2.00K
2022,Mississippi,0.10K
2022,Nevada,5000.00K
2022,Oklahoma,30.00K
2022,Mississippi,2.00K
2022,Florida,5.00K
2022,Ohio,4.00K
2022,Ohio,6.00K
2022,Ohio,0.10K
2022,Ohio,0.20K
2022,Ohio,0.10K
2022,Ohio,1.00K
2022,Ohio,12.00K
2022,Indiana,1.00K
2022,Indiana,1.00K
2022,Ohio,1.00K
2022,Ohio,7.00K
2022,Ohio,3.00K
2022,Ohio,0.10K
2022,Ohio,5.00K
2022,Ohio,1.00K
2022,Ohio,5.00K
2022,Ohio,25.00K
2022,Kentucky,5.00K
2022,Kentucky,0.20K
2022,Kentucky,3.00K
2022,Kentucky,5.00K
2022,Indiana,4.00K
2022,Indiana,10.00K
2022,Indiana,3.00K
2022,Indiana,3.00K
2022,Indiana,3.00K
2022,Kentucky,4.00K
2022,Ohio,10.00K
2022,Ohio,1.00K
2022,Ohio,6.00K
2022,Ohio,5.00K
2022,Ohio,1.00K
2022,Ohio,25.00K
2022,Ohio,10.00K
2022,Ohio,20.00K
2022,Ohio,4.00K
2022,Ohio,10.00K
2022,Ohio,15.00K
2022,Ohio,4.00K
2022,Ohio,4.00K
2022,Ohio,4.00K
2022,Ohio,5.00K
2022,Ohio,0.20K
2022,Ohio,0.25K
2022,Ohio,10.00K
2022,Ohio,1.00K
2022,Ohio,3.00K
2022,Ohio,0.20K
2022,Ohio,1.00K
2022,Ohio,3.00K
2022,Ohio,100.00K
2022,Ohio,6.00K
2022,American Samoa,10.00K
2022,Missouri,10.00K
2022,Missouri,1.00K
2022,Missouri,1.00K
2022,Missouri,1.00K
2022,Illinois,2.00K
2022,Missouri,20.00K
2022,Missouri,3.00K
2022,Illinois,5.00K
2022,Missouri,5.00K
2022,Missouri,3.00K
2022,Illinois,10.00K
2022,Missouri,5.00K
2022,Illinois,5.00K
2022,Missouri,15.00K
2022,Illinois,30.00K
2022,Illinois,12.00K
2022,Minnesota,10.00K
2022,Oklahoma,20.00K
2022,Mississippi,50.00K
2022,Louisiana,10.00K
2022,Mississippi,10.00K
2022,Mississippi,5.00K
2022,Mississippi,50.00K
2022,Mississippi,10.00K
2022,Mississippi,3.00K
2022,Mississippi,2.00K
2022,Mississippi,15.00K
2022,Mississippi,2.00K
2022,Mississippi,55.00K
2022,Mississippi,400.00K
2022,Mississippi,75.00K
2022,Mississippi,75.00K
2022,Mississippi,3.00K
2022,Mississippi,5.00K
2022,Mississippi,1.00K
2022,Mississippi,5.00K
2022,Mississippi,7.00K
2022,Mississippi,10.00K
2022,Mississippi,8.00K
2022,Mississippi,1.00K
2022,Mississippi,3.00K
2022,Mississippi,8.00K
2022,Mississippi,5.00K
2022,Mississippi,25.00K
2022,Mississippi,7.00K
2022,Mississippi,0.50K
2022,Mississippi,1.00K
2022,Mississippi,15.00K
2022,Mississippi,5.00K
2022,Mississippi,2.00K
2022,Mississippi,5.00K
2022,Mississippi,3.00K
2022,Mississippi,5.00K
2022,Nevada,7.40K
2022,Massachusetts,51.00K
2022,Massachusetts,0.80K
2022,Massachusetts,1.00K
2022,Massachusetts,0.50K
2022,Massachusetts,0.50K
2022,Massachusetts,7.00K
2022,Massachusetts,0.50K
2022,Massachusetts,10.00K
2022,Massachusetts,0.60K
2022,Massachusetts,0.50K
2022,Massachusetts,0.80K
2022,Massachusetts,0.50K
2022,Massachusetts,0.80K
2022,Massachusetts,1.30K
2022,Massachusetts,0.80K
2022,Massachusetts,1.50K
2022,Massachusetts,0.80K
2022,Massachusetts,0.80K
2022,Massachusetts,3.50K
2022,Vermont,5.00K
2022,Vermont,5.00K
2022,Vermont,5.00K
2022,Vermont,25.00K
2022,Florida,30.00K
2022,Florida,5.00K
2022,Florida,2.00K
2022,New York,25.00K
2022,New York,5.00K
2022,Vermont,10.00K
2022,Massachusetts,0.80K
2022,Massachusetts,0.50K
2022,Massachusetts,5.00K
2022,Florida,0.20K
2022,Georgia,2.00K
2022,Mississippi,10.00K
2022,Louisiana,50.00K
2022,Mississippi,35.00K
2022,Mississippi,2.00K
2022,Mississippi,3.00K
2022,Mississippi,3.00K
2022,Mississippi,5.00K
2022,Mississippi,5.00K
2022,Mississippi,5.00K
2022,Mississippi,15.00K
2022,Mississippi,5.00K
2022,Mississippi,2.00K
2022,Mississippi,2.00K
2022,Mississippi,20.00K
2022,Mississippi,2.00K
2022,Mississippi,2.00K
2022,Mississippi,15.00K
2022,Mississippi,2.00K
2022,Mississippi,6.00K
2022,Arizona,3.00M
2022,Mississippi,75.00K
2022,Mississippi,5.00K
2022,Mississippi,175.00K
2022,Mississippi,30.00K
2022,Mississippi,20.00K
2022,Oklahoma,10.00K
2022,Mississippi,0.10K
2022,Mississippi,2.00K
2022,Mississippi,7.00K
2022,Mississippi,250.00K
2022,Mississippi,150.00K
2022,Kentucky,1.00K
2022,Kentucky,1.00K
2022,Kentucky,1.00K
2022,Illinois,1.00K
2022,Illinois,1.00K
2022,Illinois,1.00K
2022,Missouri,1.00K
2022,Missouri,1.00K
2022,Florida,5.00K
2022,Florida,5.00K
2022,Missouri,1.00K
2022,Missouri,1.00K
2022,Missouri,10.00K
2022,Michigan,4.00K
2022,Michigan,3.00K
2022,Michigan,2.00K
2022,Illinois,1.00K
2022,Missouri,1.00K
2022,Missouri,1.00K
2022,Michigan,1.00K
2022,Missouri,1.00K
2022,Missouri,1.00K
2022,Missouri,1.00K
2022,Missouri,1.00K
2022,Missouri,1.00K
2022,Missouri,1.00K
2022,Missouri,1.00K
2022,Minnesota,75.00K
2022,Minnesota,30.00K
2022,Minnesota,10.00K
2022,Minnesota,650.00K
2022,Minnesota,5.00K
2022,Minnesota,20.00K
2022,Minnesota,5.00K
2022,Minnesota,10.00K
2022,Minnesota,25.00K
2022,Minnesota,10.00K
2022,Minnesota,40.00K
2022,Wisconsin,50.00K
2022,Wisconsin,20.00K
2022,Oklahoma,35.00M
2022,Arizona,1.00K
2022,Arizona,1.00K
2022,Florida,0.50K
2022,Nevada,1.00K
2022,California,10.00K
2022,California,1.00K
2022,Arizona,1.00K
2022,Arizona,1.00K
2022,Arizona,1.00K
2022,Arizona,1.00K
2022,Florida,0.20K
2022,Florida,1.00K
2022,Florida,1.00K
2022,Florida,2.00K
2022,Ohio,0.10K
2022,Ohio,5.00K
2022,Florida,0.50K
2022,Florida,0.20K
2022,West Virginia,3.00K
2022,Florida,1.00K
2022,Florida,1.00K
2022,Arizona,1.00K
2022,Nevada,2.00K
2022,Arizona,1.00K
2022,Florida,3.00K
2022,Florida,3.00K
2022,Washington,2.00K
2022,Washington,50.00K
2022,Puerto Rico,3.50K
2022,Connecticut,0.80K
2022,Massachusetts,0.20K
2022,Rhode Island,0.50K
2022,Massachusetts,0.80K
2022,Massachusetts,5.00K
2022,Massachusetts,0.50K
2022,Massachusetts,0.30K
2022,Massachusetts,2.30K
2022,Massachusetts,4.00K
2022,Massachusetts,4.00K
2022,Massachusetts,2.00K
2022,Massachusetts,0.80K
