year,state,property_damage
2015,Georgia,2.00K
2015,South Carolina,14.00K
2015,Georgia,2.00K
2015,Georgia,3.00K
2015,South Carolina,12.00K
2015,South Carolina,3.00K
2015,South Carolina,6.00K
2015,South Carolina,4.00K
2015,Georgia,8.00K
2015,South Carolina,18.00K
2015,South Carolina,16.00K
2015,South Carolina,16.00K
2015,South Carolina,1.00K
2015,South Carolina,4.00K
2015,South Carolina,2.00K
2015,South Carolina,2.00K
2015,South Carolina,18.00K
2015,South Carolina,62.00K
2015,South Carolina,16.00K
2015,South Carolina,2.00K
2015,South Carolina,2.00K
2015,Florida,1.50K
2015,New York,5.00K
2015,Vermont,1.00K
2015,Vermont,1.00K
2015,Tennessee,5.00K
2015,Tennessee,2.00K
2015,Tennessee,10.00K
2015,Tennessee,25.00K
2015,Oklahoma,18.00K
2015,Oklahoma,0.50K
2015,Oklahoma,10.00K
2015,Oklahoma,1.00K
2015,Kansas,5.00K
2015,Vermont,10.00K
2015,Maryland,3.00K
2015,West Virginia,1.00K
2015,West Virginia,2.00K
2015,Tennessee,2.00M
2015,Tennessee,100.00K
2015,Tennessee,300.00K
2015,Tennessee,1.00K
2015,Tennessee,3.00K
2015,Tennessee,20.00K
2015,Tennessee,10.00K
2015,Tennessee,50.00K
2015,Kansas,5.00K
2015,Kansas,0.10K
2015,Kansas,5.00K
2015,Kansas,10.00K
2015,Kansas,0.50K
2015,Kansas,10.00K
2015,Kansas,20.00K
2015,Colorado,25.00K
2015,Massachusetts,3.00K
2015,Iowa,100.00K
2015,Kansas,40.00K
2015,Texas,100.00K
2015,South Carolina,3.00K
2015,South Carolina,5.00K
2015,South Carolina,10.00K
2015,South Carolina,3.00K
2015,Kansas,75.00K
2015,Kansas,10.00K
2015,Vermont,25.00K
2015,Vermont,35.00K
2015,Vermont,10.00K
2015,Vermont,25.00K
2015,Maryland,5.00K
2015,Maryland,5.00K
2015,Maryland,5.00K
2015,South Carolina,10.00K
2015,South Carolina,10.00K
2015,New York,10.00K
2015,New York,10.00K
2015,New York,10.00K
2015,New York,5.00K
2015,Maryland,1.00K
2015,Maryland,2.00K
2015,Maryland,1.00K
2015,Maryland,1.00K
2015,Maryland,5.00K
2015,Maryland,1.00K
2015,Maryland,1.00K
2015,Virginia,1.00K
2015,Virginia,1.00K
2015,Virginia,1.00K
2015,Maryland,1.00K
2015,Virginia,1.00K
2015,Maryland,1.00K
2015,Maryland,1.00K
2015,New York,5.00K
2015,Maryland,1.00K
2015,Maryland,1.00K
2015,Maryland,1.00K
2015,Maryland,1.00K
2015,Virginia,1.00K
2015,Maryland,5.00K
2015,Washington,50.00K
2015,Washington,150.00K
2015,District Of Columbia,1.00K
2015,District Of Columbia,1.00K
2015,District Of Columbia,1.00K
2015,District Of Columbia,1.00K
2015,Michigan,10.00K
2015,Michigan,50.00K
2015,South Carolina,10.00K
2015,South Carolina,20.00K
2015,South Carolina,5.00K
2015,Vermont,10.00K
2015,Vermont,10.00K
2015,Vermont,15.00K
2015,Georgia,5.00K
2015,Georgia,5.00K
2015,Georgia,5.00K
2015,Vermont,25.00K
2015,Vermont,25.00K
2015,Massachusetts,5.00K
2015,Massachusetts,15.00K
2015,Massachusetts,12.50K
2015,Massachusetts,2.00K
2015,Pennsylvania,5.00K
2015,Pennsylvania,5.00K
2015,West Virginia,5.00K
2015,Pennsylvania,5.00K
2015,North Carolina,2.50K
2015,North Carolina,2.50K
2015,Guam,200.00K
2015,Utah,20.00K
2015,North Carolina,20.00K
2015,Vermont,10.00K
2015,Vermont,10.00K
2015,Vermont,15.00K
2015,Vermont,10.00K
2015,New York,10.00K
2015,New York,10.00K
2015,New York,10.00K
2015,South Carolina,1.00K
2015,South Carolina,1.00K
2015,South Carolina,10.00K
2015,South Carolina,20.00K
2015,South Carolina,20.00K
2015,South Carolina,20.00K
2015,West Virginia,5.00K
2015,West Virginia,5.00K
2015,West Virginia,5.00K
2015,South Carolina,5.00K
2015,South Carolina,10.00K
2015,New York,5.00K
2015,Maryland,5.00K
2015,Pennsylvania,75.00K
2015,Pennsylvania,25.00K
2015,Ohio,2.00K
2015,North Carolina,10.00K
2015,North Carolina,10.00K
2015,North Carolina,5.00K
2015,North Carolina,100.00K
2015,North Carolina,5.00K
2015,South Carolina,3.00K
2015,South Carolina,4.00K
2015,South Carolina,15.00K
2015,South Carolina,10.00K
2015,New York,15.00K
2015,New York,20.00K
2015,Vermont,10.00K
2015,Vermont,15.00K
2015,Vermont,25.00K
2015,Louisiana,5.00K
2015,Vermont,10.00K
2015,Vermont,10.00K
2015,New York,20.00K
