year,state,property_damage,crop_damage
2016,South Carolina,2.00K,0.00K
2016,Massachusetts,0.10K,0.00K
2016,Massachusetts,0.10K,0.00K
2016,Massachusetts,0.10K,0.00K
2016,Massachusetts,0.10K,0.00K
2016,Rhode Island,5.00K,0.00K
2016,Rhode Island,0.10K,0.00K
2016,Massachusetts,2.20K,0.00K
2016,Massachusetts,2.20K,0.00K
2016,Mississippi,5.00K,0.00K
2016,Mississippi,5.00K,0.00K
2016,Mississippi,0.10K,0.00K
2016,Rhode Island,0.70K,0.00K
2016,Connecticut,2.00K,0.00K
2016,Massachusetts,1.00K,0.00K
2016,Rhode Island,0.10K,0.00K
2016,Mississippi,7.00K,0.00K
2016,Mississippi,5.00K,0.00K
2016,Mississippi,2.00K,0.00K
2016,Mississippi,2.00K,0.00K
2016,Mississippi,7.00K,0.00K
2016,Mississippi,2.00K,0.00K
2016,Mississippi,4.00K,0.00K
2016,Mississippi,3.00K,0.00K
2016,Mississippi,7.00K,0.00K
2016,Mississippi,8.00K,0.00K
2016,Mississippi,6.00K,0.00K
2016,Mississippi,3.00K,0.00K
2016,Mississippi,17.00K,0.00K
2016,Mississippi,9.00K,0.00K
2016,Rhode Island,0.10K,0.00K
2016,Wisconsin,1.00K,0.00K
2016,Maryland,20.00K,0.00K
2016,Minnesota,5.00K,0.00K
2016,Iowa,2.00K,0.00K
2016,Wisconsin,0.20K,0.00K
2016,Tennessee,3.00K,0.00K
2016,Wisconsin,0.20K,0.00K
2016,Tennessee,3.00K,0.00K
2016,Tennessee,5.00K,0.00K
2016,Tennessee,1.00K,0.00K
2016,Wisconsin,0.20K,0.00K
2016,Wisconsin,0.20K,0.00K
2016,Wisconsin,0.20K,0.00K
2016,Oklahoma,1.00K,
2016,Oklahoma,0.50K,
2016,Oklahoma,3.00K,
2016,Oklahoma,1.00K,0.00K
2016,Wisconsin,15.00K,0.00K
2016,Wisconsin,0.20K,0.00K
2016,Tennessee,1.00K,0.00K
2016,Tennessee,1.00K,0.00K
2016,Florida,2.00K,0.00K
2016,New York,15.00K,0.00K
2016,New York,25.00K,0.00K
2016,Iowa,1.00K,0.00K
2016,New York,30.00K,0.00K
2016,Kentucky,0.10K,0.10K
2016,Florida,4.00K,0.00K
2016,Florida,30.00K,0.00K
2016,Florida,30.00K,0.00K
2016,Georgia,2.00K,0.00K
2016,Florida,10.00K,0.00K
2016,New York,15.00K,0.00K
2016,New York,10.00K,0.00K
2016,New York,20.00K,0.00K
2016,New York,30.00K,0.00K
2016,Kentucky,1.00K,1.00K
2016,Florida,5.00K,0.00K
2016,Florida,2.00K,0.00K
2016,New York,15.00K,0.00K
2016,New York,30.00K,0.00K
2016,New York,30.00K,0.00K
2016,New York,30.00K,0.00K
2016,New York,25.00K,0.00K
2016,New York,20.00K,0.00K
2016,New York,18.00K,0.00K
2016,Missouri,2.00K,0.00K
2016,New Jersey,1000.00K,0.00K
2016,Florida,2.00K,0.00K
2016,Florida,1.00K,0.00K
2016,Florida,1.00K,0.00K
2016,Mississippi,2.00K,0.00K
2016,Florida,20.00K,0.00K
2016,New York,25.00K,0.00K
2016,New York,30.00K,0.00K
2016,Missouri,10.00K,0.00K
2016,Missouri,10.00K,0.00K
2016,Missouri,25.00K,0.00K
2016,Missouri,25.00K,0.00K
2016,Ohio,2.00K,0.00K
2016,Ohio,2.00K,0.00K
2016,Washington,1.00K,0.00K
2016,Washington,1.00K,0.00K
