year,state,property_damage,crop_damage
2017,Florida,110.00K,0.00K
2017,Ohio,1.00K,0.00K
2017,Ohio,5.00K,0.00K
2017,Indiana,10.00K,0.00K
2017,Virginia,2.00K,0.00K
2017,Atlantic North,0.01K,0.01K
2017,Florida,5.00K,0.00K
2017,Florida,5.00K,0.00K
2017,Kansas,1.00K,0.00K
2017,Missouri,10.00K,0.00K
2017,Missouri,10.00K,0.00K
2017,Missouri,1.00K,0.00K
2017,Missouri,1.00K,0.00K
2017,Kansas,1.00K,0.00K
2017,Alabama,1.00K,0.00K
2017,Alabama,2.00K,0.00K
2017,Missouri,10.00K,0.00K
2017,Missouri,10.00K,0.00K
2017,Missouri,2.00K,0.00K
2017,Texas,1.00K,0.00K
2017,Pennsylvania,2.00K,0.00K
2017,Massachusetts,2.00K,0.00K
2017,Georgia,3.00K,0.00K
2017,Washington,25.00K,0.00K
2017,Oklahoma,2.00K,0.00K
2017,New York,0.10K,
2017,New York,0.10K,
2017,Massachusetts,0.10K,
2017,Texas,90.00K,0.00K
2017,Texas,5.00K,0.00K
2017,Texas,15.00K,0.00K
2017,Texas,1.00K,0.00K
2017,Texas,2.00K,0.00K
2017,Texas,10.00K,0.00K
2017,Texas,7.00K,0.00K
2017,Texas,2.00K,0.00K
2017,Mississippi,30.00K,0.00K
2017,Mississippi,10.00K,0.00K
2017,Texas,3.00K,0.00K
2017,Texas,10.00K,0.00K
2017,Mississippi,7.00K,0.00K
2017,Mississippi,5.00K,0.00K
2017,Mississippi,4.00K,0.00K
2017,Mississippi,10.00K,0.00K
2017,Texas,500.00K,0.00K
2017,Texas,10.00K,0.00K
2017,Texas,5.00K,0.00K
2017,Mississippi,45.00K,0.00K
2017,Texas,1.00K,0.00K
2017,Texas,5.00K,0.00K
2017,Texas,10.00K,0.00K
2017,Louisiana,15.00K,0.00K
2017,Mississippi,150.00K,0.00K
2017,Mississippi,10.00K,0.00K
2017,Mississippi,5.00K,0.00K
2017,New York,30.00K,
2017,Louisiana,100.00K,0.00K
2017,Mississippi,10.00K,0.00K
2017,Mississippi,10.00K,0.00K
2017,Mississippi,30.00K,0.00K
2017,Texas,2.00K,0.00K
2017,Texas,5.00K,0.00K
2017,Texas,1.00K,0.00K
2017,Mississippi,5.00K,0.00K
2017,Mississippi,20.00K,0.00K
2017,Mississippi,8.00K,0.00K
2017,Mississippi,5.00K,0.00K
2017,Mississippi,20.00K,0.00K
2017,Mississippi,10.00K,0.00K
2017,South Carolina,0.01K,0.01K
2017,Wisconsin,10.00K,0.00K
2017,Atlantic North,1.00K,0.00K
2017,Arkansas,50.00K,0.00K
2017,Florida,150.00K,0.00K
2017,Ohio,100.00K,0.00K
2017,Louisiana,5.00K,0.00K
2017,Louisiana,5.00K,0.00K
2017,Louisiana,5.00K,0.00K
2017,Delaware,0.01K,0.00K
2017,Louisiana,1.00K,0.00K
2017,Kentucky,1.50K,0.00K
2017,Kentucky,0.50K,0.00K
2017,Mississippi,30.00K,0.00K
2017,Louisiana,300.00K,0.00K
2017,Mississippi,3.00K,0.00K
2017,Mississippi,7.00K,0.00K
2017,Puerto Rico,500.00K,0.00K
2017,Puerto Rico,500.00K,0.00K
2017,Puerto Rico,500.00K,0.00K
2017,Puerto Rico,500.00K,0.00K
2017,Puerto Rico,500.00K,0.00K
2017,Louisiana,10.00K,0.00K
2017,Mississippi,11.00K,0.00K
2017,Louisiana,18.00K,0.00K
2017,Mississippi,10.00K,0.00K
2017,Mississippi,10.00K,0.00K
2017,Puerto Rico,750.00M,0.00K
2017,Mississippi,50.00K,0.00K
2017,Mississippi,20.00K,0.00K
2017,Louisiana,25.00K,0.00K
2017,Louisiana,15.00K,0.00K
2017,Puerto Rico,2.50B,0.00K
2017,Puerto Rico,750.00M,0.00K
2017,Mississippi,100.00K,0.00K
2017,Mississippi,10.00K,0.00K
2017,Mississippi,5.00K,0.00K
2017,Mississippi,15.00K,0.00K
2017,Puerto Rico,500.00K,0.00K
2017,Puerto Rico,500.00K,0.00K
2017,Puerto Rico,500.00K,0.00K
2017,Puerto Rico,500.00K,0.00K
2017,Puerto Rico,500.00K,0.00K
2017,Puerto Rico,500.00K,0.00K
2017,Puerto Rico,500.00K,0.00K
2017,Mississippi,40.00K,0.00K
2017,Mississippi,15.00K,0.00K
2017,Puerto Rico,750.00M,0.00K
2017,Puerto Rico,750.00M,0.00K
2017,Puerto Rico,750.00M,0.00K
2017,Puerto Rico,750.00M,0.00K
2017,Puerto Rico,750.00M,0.00K
2017,Puerto Rico,750.00K,0.00K
2017,Mississippi,100.00K,0.00K
2017,Mississippi,15.00K,0.00K
2017,Mississippi,10.00K,0.00K
2017,Mississippi,30.00K,0.00K
2017,Mississippi,100.00K,0.00K
2017,Mississippi,25.00K,0.00K
2017,Mississippi,15.00K,0.00K
2017,Mississippi,10.00K,0.00K
2017,Mississippi,10.00K,0.00K
2017,Mississippi,15.00K,0.00K
2017,Mississippi,5.00K,0.00K
2017,Mississippi,5.00K,0.00K
2017,Puerto Rico,500.00K,0.00K
2017,Puerto Rico,500.00K,0.00K
2017,Puerto Rico,500.00K,0.00K
2017,Puerto Rico,500.00K,0.00K
2017,Puerto Rico,500.00K,0.00K
2017,Puerto Rico,500.00K,0.00K
2017,Puerto Rico,500.00K,0.00K
2017,Puerto Rico,500.00K,0.00K
2017,Puerto Rico,500.00K,0.00K
2017,Puerto Rico,500.00K,0.00K
2017,Puerto Rico,500.00K,0.00K
2017,Mississippi,10.00K,0.00K
2017,Puerto Rico,750.00M,0.00K
2017,Puerto Rico,750.00M,0.00K
2017,Puerto Rico,750.00M,0.00K
2017,Puerto Rico,750.00M,0.00K
2017,Puerto Rico,750.00M,0.00K
