year,state,property_damage,crop_damage
2014,New Hampshire,15.00K,0.00K
2014,New Hampshire,10.00K,0.00K
2014,New Hampshire,5.00K,0.00K
2014,New Hampshire,5.00K,0.00K
2014,New Hampshire,10.00K,0.00K
2014,Ohio,150.00K,0.00K
2014,New York,1.00K,0.00K
2014,New York,1.00K,0.00K
2014,New York,5.00K,0.00K
2014,Ohio,25.00K,0.00K
2014,Ohio,15.00K,0.00K
2014,Ohio,1.00K,0.00K
2014,Ohio,20.00K,0.00K
2014,Ohio,50.00K,0.00K
2014,Ohio,2.00K,0.00K
2014,Ohio,60.00K,0.00K
2014,Ohio,6.00K,0.00K
2014,Ohio,10.00K,0.00K
2014,Ohio,2.00K,0.00K
2014,Ohio,35.00K,0.00K
2014,Ohio,10.00K,0.00K
2014,Ohio,2.00K,0.00K
2014,Ohio,15.00K,0.00K
2014,Pennsylvania,1.00K,0.00K
2014,New York,1.00K,0.00K
2014,New York,5.00K,0.00K
2014,New York,1.00K,0.00K
2014,New York,1.00K,0.00K
2014,New York,1.00K,0.00K
2014,New York,25.00K,0.00K
2014,New York,1.00K,0.00K
2014,New York,2.00K,0.00K
2014,Massachusetts,1.00K,0.00K
2014,Massachusetts,10.00K,0.00K
2014,Florida,150.00K,0.00K
2014,Idaho,50.00K,0.00K
2014,Arizona,25.00K,0.00K
2014,Minnesota,5.00K,0.00K
2014,Minnesota,15.00K,0.00K
2014,Minnesota,2.00K,0.00K
2014,Tennessee,3.00K,0.00K
2014,Tennessee,2.00K,0.00K
2014,Tennessee,5.00K,0.00K
2014,Tennessee,3.00K,0.00K
2014,Nevada,2.00K,0.00K
2014,North Carolina,10.00K,0.00K
2014,North Carolina,5.00K,0.00K
2014,Arkansas,20.00K,0.00K
2014,Maryland,10.00K,0.50K
2014,West Virginia,0.00K,0.25K
2014,Maryland,0.00K,0.25K
2014,Maryland,2.00K,0.25K
2014,Texas,0.50K,0.00K
2014,Texas,0.30K,0.00K
2014,Texas,1.00K,0.00K
2014,Ohio,1.50M,0.00K
2014,Ohio,20.00K,0.00K
2014,South Carolina,3.00K,0.00K
2014,South Carolina,2.00K,0.00K
2014,South Carolina,14.00K,0.00K
2014,Texas,0.20K,0.00K
2014,Texas,0.50K,0.00K
2014,Texas,0.50K,0.00K
2014,Michigan,30.00K,0.00K
2014,Michigan,20.00K,0.00K
2014,Michigan,0.50K,0.00K
2014,Kansas,10.00K,
2014,Michigan,1.00K,0.00K
2014,Virginia,2.00K,0.00K
2014,Virginia,2.00K,0.00K
2014,Virginia,2.00K,0.00K
2014,Virginia,2.00K,0.00K
2014,New York,10.00K,0.00K
2014,Tennessee,50.00K,0.00K
2014,Indiana,0.50K,0.00K
2014,New Mexico,3.00K,0.00K
2014,Minnesota,5.00K,0.00K
2014,Minnesota,3.00K,0.00K
2014,West Virginia,1.00K,0.25K
2014,West Virginia,2.00K,1.00K
2014,West Virginia,0.00K,0.25K
2014,West Virginia,0.00K,0.25K
2014,West Virginia,0.00K,0.25K
2014,West Virginia,0.00K,0.25K
2014,West Virginia,1.00K,0.25K
2014,New York,10.00K,0.00K
2014,New York,15.00K,0.00K
2014,New York,50.00K,0.00K
2014,West Virginia,1.00K,2.00K
2014,West Virginia,0.00K,0.50K
2014,West Virginia,1.00K,1.00K
2014,West Virginia,3.00K,0.50K
2014,West Virginia,0.00K,1.00K
2014,West Virginia,0.00K,1.00K
2014,West Virginia,0.00K,0.25K
2014,West Virginia,1.00K,0.25K
2014,North Dakota,50.00K,0.00K
2014,Minnesota,10.00K,0.00K
2014,Minnesota,50.00K,0.00K
2014,Texas,0.00K,1.00K
